message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.999303])";"30";"turtlesim1.sim";"1696501496.760523664";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.967305])";"30";"turtlesim2.sim";"1696501496.760377264";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.743325])";"30";"turtlesim3.sim";"1696501496.759138464";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.967305])";"30";"turtlesim1.sim";"1696501496.744689165";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.935308])";"30";"turtlesim2.sim";"1696501496.744355065";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.711328])";"30";"turtlesim3.sim";"1696501496.743480765";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.935308])";"30";"turtlesim1.sim";"1696501496.728826966";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.903311])";"30";"turtlesim2.sim";"1696501496.727870766";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.679331])";"30";"turtlesim3.sim";"1696501496.726875466";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.903311])";"30";"turtlesim1.sim";"1696501496.713016467";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.871314])";"30";"turtlesim2.sim";"1696501496.712614667";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.647333])";"30";"turtlesim3.sim";"1696501496.711286467";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.871314])";"30";"turtlesim1.sim";"1696501496.697187768";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.839317])";"30";"turtlesim2.sim";"1696501496.695964368";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.615336])";"30";"turtlesim3.sim";"1696501496.695202868";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.839317])";"30";"turtlesim1.sim";"1696501496.680831969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.807319])";"30";"turtlesim2.sim";"1696501496.680754069";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.583339])";"30";"turtlesim3.sim";"1696501496.679602069";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.807319])";"30";"turtlesim1.sim";"1696501496.665090870";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.775322])";"30";"turtlesim2.sim";"1696501496.663866570";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.551342])";"30";"turtlesim3.sim";"1696501496.663866570";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.775322])";"30";"turtlesim1.sim";"1696501496.648899371";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.743325])";"30";"turtlesim2.sim";"1696501496.648878371";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.519345])";"30";"turtlesim3.sim";"1696501496.647876471";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.743325])";"30";"turtlesim1.sim";"1696501496.632320872";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.711328])";"30";"turtlesim2.sim";"1696501496.632265672";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.487347])";"30";"turtlesim3.sim";"1696501496.631118472";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.711328])";"30";"turtlesim1.sim";"1696501496.616514073";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.679331])";"30";"turtlesim2.sim";"1696501496.616454773";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.455350])";"30";"turtlesim3.sim";"1696501496.615425073";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.679331])";"30";"turtlesim1.sim";"1696501496.600982974";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.647333])";"30";"turtlesim2.sim";"1696501496.599634974";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.423353])";"30";"turtlesim3.sim";"1696501496.599221774";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.647333])";"30";"turtlesim1.sim";"1696501496.585781875";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.615336])";"30";"turtlesim2.sim";"1696501496.583743675";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.391356])";"30";"turtlesim3.sim";"1696501496.583171676";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.615336])";"30";"turtlesim1.sim";"1696501496.568466376";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.583339])";"30";"turtlesim2.sim";"1696501496.567888677";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.359358])";"30";"turtlesim3.sim";"1696501496.567888977";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.583339])";"30";"turtlesim1.sim";"1696501496.553736677";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.551342])";"30";"turtlesim2.sim";"1696501496.552359578";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.327361])";"30";"turtlesim3.sim";"1696501496.551142978";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.551342])";"30";"turtlesim1.sim";"1696501496.536544079";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.519345])";"30";"turtlesim2.sim";"1696501496.536468379";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.295364])";"30";"turtlesim3.sim";"1696501496.535187979";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.519345])";"30";"turtlesim1.sim";"1696501496.521114980";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.263367])";"30";"turtlesim3.sim";"1696501496.519947380";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.487347])";"30";"turtlesim2.sim";"1696501496.519947380";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.487347])";"30";"turtlesim1.sim";"1696501496.505171481";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.455350])";"30";"turtlesim2.sim";"1696501496.504274581";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.231370])";"30";"turtlesim3.sim";"1696501496.502957181";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.455350])";"30";"turtlesim1.sim";"1696501496.488630182";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.423353])";"30";"turtlesim2.sim";"1696501496.488604882";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.199372])";"30";"turtlesim3.sim";"1696501496.486962382";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.423353])";"30";"turtlesim1.sim";"1696501496.473353883";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.391356])";"30";"turtlesim2.sim";"1696501496.471717783";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.167375])";"30";"turtlesim3.sim";"1696501496.471320483";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.391356])";"30";"turtlesim1.sim";"1696501496.456378284";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.359358])";"30";"turtlesim2.sim";"1696501496.455865784";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.135378])";"30";"turtlesim3.sim";"1696501496.454888684";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.359358])";"30";"turtlesim1.sim";"1696501496.440477585";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.327361])";"30";"turtlesim2.sim";"1696501496.440168285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.103381])";"30";"turtlesim3.sim";"1696501496.438817085";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.327361])";"30";"turtlesim1.sim";"1696501496.424780386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.295364])";"30";"turtlesim2.sim";"1696501496.424162386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.071384])";"30";"turtlesim3.sim";"1696501496.423158086";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.295364])";"30";"turtlesim1.sim";"1696501496.408864287";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.263367])";"30";"turtlesim2.sim";"1696501496.407850087";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.039386])";"30";"turtlesim3.sim";"1696501496.407379287";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.263367])";"30";"turtlesim1.sim";"1696501496.392687388";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.231370])";"30";"turtlesim2.sim";"1696501496.392658088";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.007389])";"30";"turtlesim3.sim";"1696501496.391679088";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.199372])";"30";"turtlesim2.sim";"1696501496.376677689";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.231370])";"30";"turtlesim1.sim";"1696501496.376208789";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.975392])";"30";"turtlesim3.sim";"1696501496.375067989";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.199372])";"30";"turtlesim1.sim";"1696501496.360664290";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.167375])";"30";"turtlesim2.sim";"1696501496.359707790";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.943395])";"30";"turtlesim3.sim";"1696501496.359292990";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.167375])";"30";"turtlesim1.sim";"1696501496.344615991";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.135378])";"30";"turtlesim2.sim";"1696501496.344344291";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.911398])";"30";"turtlesim3.sim";"1696501496.343083091";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.135378])";"30";"turtlesim1.sim";"1696501496.329177792";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.103381])";"30";"turtlesim2.sim";"1696501496.328042092";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.879400])";"30";"turtlesim3.sim";"1696501496.327740592";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.103381])";"30";"turtlesim1.sim";"1696501496.312614693";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.071384])";"30";"turtlesim2.sim";"1696501496.312188993";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.847403])";"30";"turtlesim3.sim";"1696501496.311414093";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.071384])";"30";"turtlesim1.sim";"1696501496.296819094";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.039386])";"30";"turtlesim2.sim";"1696501496.296805794";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.815406])";"30";"turtlesim3.sim";"1696501496.295449494";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.039386])";"30";"turtlesim1.sim";"1696501496.281484795";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.007389])";"30";"turtlesim2.sim";"1696501496.281084295";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.783409])";"30";"turtlesim3.sim";"1696501496.279373395";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.007389])";"30";"turtlesim1.sim";"1696501496.264222596";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.975392])";"30";"turtlesim2.sim";"1696501496.264115096";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.751411])";"30";"turtlesim3.sim";"1696501496.262998396";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.975392])";"30";"turtlesim1.sim";"1696501496.248482497";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.943395])";"30";"turtlesim2.sim";"1696501496.248446697";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.719414])";"30";"turtlesim3.sim";"1696501496.247372997";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.943395])";"30";"turtlesim1.sim";"1696501496.232671798";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.911398])";"30";"turtlesim2.sim";"1696501496.232563398";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.687417])";"30";"turtlesim3.sim";"1696501496.230885698";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.911398])";"30";"turtlesim1.sim";"1696501496.217197899";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.879400])";"30";"turtlesim2.sim";"1696501496.216274099";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.655420])";"30";"turtlesim3.sim";"1696501496.215296699";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.879400])";"30";"turtlesim1.sim";"1696501496.200393600";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.847403])";"30";"turtlesim2.sim";"1696501496.200393700";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.623423])";"30";"turtlesim3.sim";"1696501496.199578201";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.847403])";"30";"turtlesim1.sim";"1696501496.184639301";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.815406])";"30";"turtlesim2.sim";"1696501496.184537601";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.591425])";"30";"turtlesim3.sim";"1696501496.183878002";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.815406])";"30";"turtlesim1.sim";"1696501496.168933803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.783409])";"30";"turtlesim2.sim";"1696501496.168235303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.559428])";"30";"turtlesim3.sim";"1696501496.167215903";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.783409])";"30";"turtlesim1.sim";"1696501496.153155404";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.751411])";"30";"turtlesim2.sim";"1696501496.152402504";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.527431])";"30";"turtlesim3.sim";"1696501496.151394504";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.751411])";"30";"turtlesim1.sim";"1696501496.136640205";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.719414])";"30";"turtlesim2.sim";"1696501496.136549005";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.495434])";"30";"turtlesim3.sim";"1696501496.135453705";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.719414])";"30";"turtlesim1.sim";"1696501496.120438506";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.687417])";"30";"turtlesim2.sim";"1696501496.120378706";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.463437])";"30";"turtlesim3.sim";"1696501496.119193406";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.687417])";"30";"turtlesim1.sim";"1696501496.104753507";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.655420])";"30";"turtlesim2.sim";"1696501496.104297807";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.431439])";"30";"turtlesim3.sim";"1696501496.103337507";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.655420])";"30";"turtlesim1.sim";"1696501496.089457108";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.623423])";"30";"turtlesim2.sim";"1696501496.088775508";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.399442])";"30";"turtlesim3.sim";"1696501496.087174808";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.623423])";"30";"turtlesim1.sim";"1696501496.073320009";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.591425])";"30";"turtlesim2.sim";"1696501496.072341409";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.367445])";"30";"turtlesim3.sim";"1696501496.071882209";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.591425])";"30";"turtlesim1.sim";"1696501496.057209210";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.559428])";"30";"turtlesim2.sim";"1696501496.056027810";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.335448])";"30";"turtlesim3.sim";"1696501496.055675510";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.559428])";"30";"turtlesim1.sim";"1696501496.040936311";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.527431])";"30";"turtlesim2.sim";"1696501496.040742711";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.303450])";"30";"turtlesim3.sim";"1696501496.039803011";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.527431])";"30";"turtlesim1.sim";"1696501496.024485612";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.495434])";"30";"turtlesim2.sim";"1696501496.024400012";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.271453])";"30";"turtlesim3.sim";"1696501496.023779112";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.495434])";"30";"turtlesim1.sim";"1696501496.008788713";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.463437])";"30";"turtlesim2.sim";"1696501496.007999713";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.239456])";"30";"turtlesim3.sim";"1696501496.007138013";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.463437])";"30";"turtlesim1.sim";"1696501495.992661914";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.431439])";"30";"turtlesim2.sim";"1696501495.991927614";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.207459])";"30";"turtlesim3.sim";"1696501495.991405814";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.431439])";"30";"turtlesim1.sim";"1696501495.976730615";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.399442])";"30";"turtlesim2.sim";"1696501495.975940415";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.175462])";"30";"turtlesim3.sim";"1696501495.975603315";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.399442])";"30";"turtlesim1.sim";"1696501495.961080116";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.367445])";"30";"turtlesim2.sim";"1696501495.959893516";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.143464])";"30";"turtlesim3.sim";"1696501495.958905816";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.335448])";"30";"turtlesim2.sim";"1696501495.944294217";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.367445])";"30";"turtlesim1.sim";"1696501495.944334117";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.111467])";"30";"turtlesim3.sim";"1696501495.943161517";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.335448])";"30";"turtlesim1.sim";"1696501495.928889618";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.303450])";"30";"turtlesim2.sim";"1696501495.928646818";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.079470])";"30";"turtlesim3.sim";"1696501495.927479918";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.303450])";"30";"turtlesim1.sim";"1696501495.912605819";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.271453])";"30";"turtlesim2.sim";"1696501495.911896419";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.271453])";"30";"turtlesim1.sim";"1696501495.896732020";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.239456])";"30";"turtlesim2.sim";"1696501495.896096720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.239456])";"30";"turtlesim1.sim";"1696501495.880309021";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.207459])";"30";"turtlesim2.sim";"1696501495.880206621";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=6.207459])";"30";"turtlesim1.sim";"1696501495.864685422";"./src/turtle.cpp:update:260"
